"52nSOS_overview","Eike Hinderk Jürrens (e.h.juerrens@52north.org), Daniel Nüst (d.nuest@52north.org), Simon Jirka (s.jirka@52north.org)","","Creative Commons Attribution 3.0 Unported (CC BY 3.0)"
"52nWPS_overview","Bastian Schaeffer, Kristof Lange, Benjamin Pross","Cameron Shorter, LISAsoft","Creative Commons Attribution 3.0 Unported (CC BY 3.0)"
"52nWSS_overview","Jan Drewnak (j.drewnak@52north.org)","Cameron Shorter, LISAsoft","Creative Commons Attribution 3.0 Unported (CC BY 3.0)"
"R_overview","OSGeo-Live","Cameron Shorter, LISAsoft","Creative Commons Attribution 3.0 Unported (CC BY 3.0)"
"atlasstyler_overview","Stefan Tzeggai","Cameron Shorter, LISAsoft","Creative Commons Attribution 3.0 Unported (CC BY 3.0)"
"cartaro_overview","Friedjoff Trautwein, http://www.geops.de; Patric Hafner, http://www.geops.de","Cameron Shorter, http://lisasoft.com","Creative Commons Attribution 3.0 Unported (CC BY 3.0)"
"cesium_overview","Balasubramaniam Natarajan","","Creative Commons Attribution-ShareAlike 3.0 Unported  (CC BY-SA 3.0)"
"deegree_overview","Johannes Wilden, Markus Schneider, Danilo Bretschneider","Cameron Shorter, LISAsoft","Creative Commons Attribution 3.0 Unported (CC BY 3.0)"
"eoxserver_overview","OSGeo-Live; Stephan Meissl, Stephan Krause","Cameron Shorter, LISAsoft","Creative Commons Attribution 3.0 Unported (CC BY 3.0)"
"gdal_overview","OSGeo-Live","Cameron Shorter, LISAsoft","Creative Commons Attribution 3.0 Unported (CC BY 3.0)"
"geokettle_overview","Thierry Badard ","Cameron Shorter, LISAsoft","Creative Commons Attribution 3.0 Unported (CC BY 3.0)"
"geomajas_overview","Pieter De Graef","Cameron Shorter, LISAsoft","Creative Commons Attribution 3.0 Unported (CC BY 3.0)"
"geomoose_overview","OSGeo-Live; Bob Basques","Cameron Shorter, LISAsoft","Creative Commons Attribution 3.0 Unported (CC BY 3.0)"
"geonetwork_overview","OSGeo-Live","Cameron Shorter, LISAsoft","Creative Commons Attribution 3.0 Unported (CC BY 3.0)"
"geonode_overview","Barbara Angerer, Angelos Tzotsos","Cameron Shorter, LISAsoft","Creative Commons Attribution 3.0 Unported (CC BY 3.0)"
"geopublisher_overview","Stefan Tzeggai","Cameron Shorter, LISAsoft","Creative Commons Attribution 3.0 Unported (CC BY 3.0)"
"geos_overview","OSGeo-Live; Frank Warmerdam","Cameron Shorter, LISAsoft","Creative Commons Attribution 3.0 Unported (CC BY 3.0)"
"geoserver_overview","Ian Turton; Frank Gasdorf","Cameron Shorter, LISAsoft","Creative Commons Attribution 3.0 Unported (CC BY 3.0)"
